"Read Details","Lees details"
"Could not save group price","Kan groepsprijs niet opslaan"
"The file upload failed.","De bestandsupload is mislukt."
"The product has required options.","Het product heeft verplichte opties."
"Something went wrong while processing the request.","Er ging iets fout tijdens het verwerken van het verzoek."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 breidt \Magento\Catalog\Model\Product\Type\AbstractType niet uit"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 breidt \Magento\Catalog\Model\Product\Type\Price niet uit"
"Not Visible Individually","Niet individueel zichtbaar"
Search,Zoek
"Catalog Search","Catalogus zoeken"
"Something went wrong while removing products from the websites.","Er ging iets fout tijdens het verwijderen van producten van de websites."
"Something went wrong while adding products to websites.","Er ging iets fout tijdens het toevoegen van producten aan websites."
"Group with id ""%1"" does not exist.","Groep met id ""%1"" bestaat niet."
"Attribute group that contains system attributes can not be deleted""Attribuutgroep"," waarin systeemattributen staan kan niet worden verwijderd"
"Collection provider is not registered","Collectie aanbieder is niet geregistreerd"
"Unknown link type: %1","Onbekend koppelingstype: %1"
"Provided link type ""%1"" does not exist","Opgegeven koppelingstype ""%1"" bestaat niet"
"Invalid data provided for linked products","Ongeldige gegevens opgegeven voor gekoppelde producten"
"Product with SKU '%1' is not linked to product with SKU '%2'","Product met SKU %1 is niet gekoppeld aan product met SKU %2"
"Product %1 doesn't have linked %2 as %3","Product %1 heeft geen gekoppelde %2 als %3"
"Requested product doesn't exist","Gevraagde product bestaat niet"
"Requested product does not support images.","Opgevraagd product ondersteunt geen afbeeldingen."
"Product with SKU ""%1"" does not exist","Product met SKU ""%1"" bestaat niet"
"Invalid product data: %1","Ongeldige productgegevens: %1"
"Unable to remove product %1","Kan product %1 niet verwijderen"
"There are not websites for assign to product","Er zijn geen websites om aan het product toe te wijzen"
"Could not assign product ""%1"" to websites ""%2""","Kon het product ""%1"" niet toewijzen aan websites ""%2"""
"Could not save product ""%1"" with websites %2","Kon het product ""%1"" niet opslaan bij websites %2"
"We cannot determine the field name.","We kunnen de naam van het veld niet bepalen."
"Attribute '%1' is locked. %2","Attribuut '%1' is vergrendeld. %2"
"Do not change the scope. %1","Verander de scope niet. %1"
"A product type is not defined for the indexer.","Een producttype is niet opgegeven"
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 breidt \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice niet uit"
"Product with SKU %1 is not linked to product with SKU %2","Product met SKU %1 is niet gekoppeld aan product met SKU %2"
"Multiple Select","Multiple Selecteer"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 breidt \Magento\Framework\Filter\Template niet uit"
"As low as",Slechts
message,bericht
Images,Afbeeldingen
Select...,Selecteer...
"Advanced Pricing","Geavanceerde prijzen"
"Tier Price",Staffelprijs
"Customer Group",Klantengroep
"Special Price From","Speciale prijs vanaf"
To,Aan
Done,Klaar
"Add Selected","Geselecteerde toevoegen"
"Select Attribute","Selecteer Attribuut"
"Create New Attribute","Nieuw attribuut aanmaken"
"Customizable Options","Aanpasbare opties"
"Custom options let customers choose the product variations they want.","Aangepaste opties laat klanten de productvariaties die ze willen kiezen."
"Add Option","Optie toevoegen"
"New Option","Nieuwe optie"
"Select Product","Selecteer Product"
"Option Title","Titel optie"
"Add Value","Waarde toevoegen"
Title,Titel
"Option Type",Optietype
Required,Vereist
"Price Type",Prijstype
"Max Characters","Max tekens"
"Compatible File Extensions","Compatibele bestandsextensies"
"Maximum Image Size","Maximum grootte afbeelding"
"Please leave blank if it is not an image.","Leeg laten indien dit geen afbeelding is."
"This item has weight","Dit product heeft een gewicht"
"This item has no weight","Dit product heeft geen gewicht"
"Set Product as New From","Stel het product in als nieuw vanaf"
"Related Products Up-Sells and Cross-Sells","Verwante producten up-sells en cross-sells"
"Related products are shown to customers in addition to the item the customer is looking at.","Verwante producten worden getoond aan bezoekers als toevoeging aan het product dat de bezoeker bekijkt."
"Add Related Products","Verwante producten toevoegen"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Een duurder alternatief of alternatief van hogere kwaliteit dan het huidige product."
"Add Up-Sell Products","Up-sell producten toevoegen"
"Up-Sell Products","Up-sell producten"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Extra of complementaire producten. Deze impuls-aankopen worden in de winkelwagen getoond."
"Add Cross-Sell Products","Cross-sell producten toevoegen"
"Cross-Sell Products","Cross-sell producten"
"Add Selected Products","Geselecteerde producten toevoegen"
Remove,Verwijder
Actions,acties
"Schedule Update From","Plan Update van"
"Product in Websites","Product in websites"
"If your Magento site has multiple views you can set the scope to apply to a specific view.","Als uw Magento site meerdere weergaven heeft kunt u de scope instellen naar een bepaalde weergave."
name,naam
"Copy Data from","Kopieer gegevens van"
"If there are no custom parent categories please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Als er geen aangepaste bovenliggende categorieÃ«n zijn gebruik dan de standaard bovenliggende categorie. U kunt de categorie op elk moment wijzigen in <a href=""%1"" target=""_blank"">Producten > CategorieÃ«n</a>."
"This operation can take a long time","Deze bewerking kan lang duren"
"Collapse All","Alles uitklappen"
"Expand All","Alles uitklappen"
"Please confirm site switching. All data that hasn't been saved will be lost.","Bevestig sitewissel. Alle gegevens die nog niet opgeslagen zijn zullen verloren gaan."
"Use Default Value","Standaardwaarde gebruiken"
"Manage Titles (Size Color etc.)","Beheer titels (grootte kleur etc)"
"Manage Options (Values of Your Attribute)","Beheer opties (waarden van uw attribuut)"
"Is Default","Is standaard"
"Sort Option",Sorteeroptie
Groups,Groepen
"Double click on a group to rename it.","Dubbelklik op een groep om te hernoemen."
"Unassigned Attributes","Niet-toegewezen attributen"
"A name is required.","Een naam is verplicht."
"This group contains system attributes. Please move system attributes to another group and try again.","Deze groep bevat systeemattributen. Verplaats de systeemattributen naar een andere groep en probeer opnieuw."
"Please enter a new group name.","Geef een nieuwe groepsnaam op."
"An attribute group named ""/name/"" already exists"".","De attribuutgroep met de naam ""/name/"" bestaat al""."
"Sorry we're unable to complete this request.","Deze aanvraag kan niet voltooid worden."
"You can't remove attributes from this attribute set.","U kunt geen attributen verwijderen uit deze attributenset."
"Custom Options","Eigen opties"
"This is a required option.","Dit is een verplichte optie."
"The field isn't complete.","Het veld is niet compleet."
"Compatible file extensions to upload","Compatibele bestandsextensies om te uploaden"
"Maximum image width","Maximum breedte afbeelding"
"Maximum image height","Maximum hoogte afbeelding"
"Maximum number of characters:","Maximale aantal karakters:"
"start typing to search template","begin met typen om sjabloon te vinden"
"Manage Stock","Voorraad beheren"
Qty,Aantal
"Out-of-Stock Threshold","Niet op voorraad drempel"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal  in winkelwagen"
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal toegestaan in winkelwagen"
"Qty Uses Decimals","Decimalen in aantalen"
"Notify for Quantity Below","Melden bij aantal lager dan"
"Enable Qty Increments","Activeer opklimmende aantallen"
"Qty Increments","Opklimmend aantal"
"Stock Availability","Beschikbaarheid voorraad"
"In Stock","Op voorraad"
"Out of Stock","Niet op voorraad"
"Add Product To Websites","Product aan websites toevoegen"
"Remove Product From Websites","Product van websites verwijderen"
"To hide an item in catalog or search results set the status to ""Disabled"".","Als u een product in de catalogus of zoekresultaten wilt verbergen zet de status op 'Uitgeschakeld'."
"We can't save custom-defined options for bundles with dynamic pricing.","Aangepaste opties voor bundels met dynamische prijzen konden niet worden opgeslagen."
"Delete Custom Option","Aangepaste optie verwijderen"
"Sort Custom Options","Aangepaste sorteeropties"
"Input Type",Invoertype
"Sort Custom Option","Aangepaste sorteeroptie"
"Item Price",Productprijs
Action,Actie
"and above","en hoger"
"Delete Tier","Verwijder staffel"
"Product In Websites","Product in websites"
"(Copy data from: %1)","(Gegevens kopi&euml;ren van: %1)"
"Browse to find or drag image here","Bladeren om de afbeelding te vinden of sleep de afbeelding hierheen"
"Delete image","Verwijder afbeelding"
Hidden,Verborgen
"Alt Text",Alt-tekst
Role,Rol
"Image Size",Afbeeldingsgrootte
"Image Resolution",Afbeeldingresolutie
"{width}^{height} px","{width} ^{height} px"
"Hide from Product Page","Verbergen van product pagina"
"Product Alerts",Product-notificaties
"Allow Multiple Boxes for Shipping","Meerdere dozen voor verzending toestaan"
"start typing to search attribute","begin met typen om attribuutset te vinden"
"Basic Settings","Basis instellingen"
"Advanced Settings","Geavanceerde Instellingen"
"Changes have been made to this section that have not been saved.""Wijzigingen"," die in deze sectie zijn gemaakt zijn nog niet opgeslagen."
"This tab contains invalid data. Please resolve this before saving.","Dit tabblad bevat ongeldige gegevens; deze moeten voor het opslaan gecorrigeerd worden."
"Mass Actions","Bulk acties"
"Select All","Alles selecteren"
"Unselect All","Deselecteer alles"
"Select Visible","Selecteer zichtbare"
"Unselect Visible","Deselecteer zichtbare"
"Special Price","Speciale prijs"
"Regular Price","Normale prijs"
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Koop %1 voor %2 en <strong class=""benefit"">bespaar<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Koop %1 voor %2 per stuk"
"Shop By",Filteren
"Shopping Options","Selectie verfijnen"
"Compare Products","Producten vergelijken"
"Print This Page","Print deze pagina"
"Remove Product","Product verwijderen"
"Add to Cart","In Winkelwagen"
"In stock","Op voorraad"
"Out of stock","Niet op voorraad"
"Add to Wish List","Toevoegen aan verlanglijst"
"You have no items to compare.","Geen producten geselecteerd."
"Remove This Item","Verwijder dit artikel"
Compare,Vergelijken
"Clear All","Alles wissen"
Prev,Vorige
Next,Volgende
"We can't find products matching the selection.","Geen producten gevonden voor deze selectie."
"Learn More","Lees verder"
"Add to Compare","Toevoegen om te vergelijken"
"We found other products you might like!","Andere producten die mogelijk iets voor u zijn!"
"More Choices:","Meer keuzes:"
"Check items to add to the cart or","Selecteer items om ze aan het mandje toe te voegen of"
"select all","alles selecteren"
"Items %1-%2 of %3","Producten %1-%2 van %3"
"%1 Item","%1 product"
"%1 Items","%1 producten"
Show,Toon
"per page","per pagina"
"Sort By","Sorteer op"
"Set Ascending Direction","Van laag naar hoog sorteren"
"Set Descending Direction","Van hoog naar laag sorteren"
"View as","Tonen als"
"More Information","Meer informatie"
Loading...,"Bezig met laden..."
"* Required Fields","* Verplichte velden"
Availability,Beschikbaarheid
"Terms and Conditions","Algemene Voorwaarden"
"Add New Condition","Nieuwe voorwaarde toevoegen"
"Save Condition","Algemene Voorwaarden opslaan"
"Delete Condition","Voorwaarde verwijderen"
"Edit Terms and Conditions","Algemene Voorwaarden bewerken"
"New Terms and Conditions","Nieuwe voorwaarden"
"Terms and Conditions Information","Informatie over Algemene Voorwaarden"
"Condition Name","Naam van voorwaarde"
Enabled,Ingeschakeld
Disabled,Uitgeschakeld
"Show Content as","Inhoud tonen als"
Text,Tekst
Applied,Toegepast
"Store View",Winkelaanzicht
"Checkbox Text","Tekst checkbox"
Content,inhoud
"Content Height (css)","Hoogte inhoud (css)"
"Content Height","Hoogte inhoud"
Condition,conditie
Sales,Verkopen
"Checkout Conditions",Betalingsvoorwaarden
"Checkout Terms and Conditions","Algemene Voorwaarden Afrekenen"
"This condition no longer exists.","Deze conditie bestaat niet langer meer"
"You deleted the condition.","De Algemene Voorwaarden zijn verwijderd."
"Something went wrong  while deleting this condition.","Er ging iets fout tijdens het verwijderen van deze Algemene Voorwaarden."
"Edit Condition","Wijzig conditie"
"New Condition","Nieuwe Algemene Voorwaarden"
"You saved the condition.","Algemene Voorwaarden opgeslagen."
"Something went wrong while saving this condition.","Er ging iets fout bij het opslaan van deze Algemene Voorwaarden."
Automatically,Automatisch
Manually,Handmatig
"Please agree to all the terms and conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst."
"Unable to save checkout agreement %1","Betalingsovereenkomst %1 opslaan is niet mogelijk"
"Unable to remove checkout agreement %1","Betalingsovereenkomst %1 verwijderen is niet mogelijk"
"Checkout agreement with specified ID ""%1"" not found.","Betalingsovereenkomst met het opgegeven kenmerk %1 niet gevonden."
"Shopping Cart",Winkelwagen
"Invalid method: %1","Ongeldige methode: %1"
City,Plaats
Country,Land
State/Province,Staat/provincie
"Zip/Postal Code",Postcode
"My Cart (1 item)","Winkelwagen (1 product)"
"My Cart (%1 items)","Winkelwagen (%1 producten)"
"My Cart",Winkelwagen
"For delivery questions.","Voor vragen over de aflevering."
"Customer is already registered","Klant is al geregistreerd"
"Your session has expired","Uw sessie is verlopen"
"A letter with further instructions will be sent to your email.","Een bericht met verdere instructies zal worden verzonden naar uw e-mailadres."
"You added %1 to your shopping cart.","U heeft %1 aan de winkelwagen toegevoegd."
"We can't add this item to your shopping cart right now.","We kunnen dit product nu niet aan uw winkelwagen toevoegen."
"Out of stock","Niet op voorraad"
"We can't find the quote item.","Product in offerte niet gevonden."
"We cannot configure the product.","We kunnen het product niet configureren."
"You used coupon code ""%1"".","U heeft kortingscode ""%1"" gebruikt."
"The coupon code ""%1"" is not valid.","Kortingscode ""%1"" is niet geldig."
"You canceled the coupon code.","U heeft de kortingscode geannuleerd."
"We cannot apply the coupon code.","Kortingscode kan niet worden toegepast."
"We can't remove the item.","Het product kan niet verwijderd worden."
"%1 was updated in your shopping cart.","%1 is bijgewerkt in uw winkelwagen."
"We can't update the item right now.","Het product kon niet worden bijgewerkt."
"We can't update the shopping cart.","We kunnen uw winkelwagen niet bijwerken."
"One-page checkout is turned off.","One-page checkout is uitgeschakeld."
"Guest checkout is disabled.","Gast kassa is uitgeschakeld."
Checkout,Afrekenen
"Page not found.","Pagina niet gevonden."
"Please agree to all the terms and conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst."
"Something went wrong while processing your order. Please try again later.","Er ging iets mis tijdens het verwerken van uw bestelling. Probeer het later nog eens."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 breidt \Magento\Checkout\CustomerData\ItemInterface niet uit"
"We can't find the product.","We kunnen het product niet vinden."
"The product does not exist.","Het artikel bestaat niet."
"We don't have some of the products you want.","We hebben niet alle producten die u wenst."
"We don't have as many of some products as you want.","We hebben het gevraagde aantal producten niet op voorraad."
"Quantity was recalculated from %1 to %2","Aantal is opnieuw berekend van %1 tot %2"
"We adjusted product quantities to fit the required increments.","We hebben de producthoeveelheden aangepast om aan de vereiste hoeveelheden te voldoen."
"This quote item does not exist.","Dit offerteproduct bestaat niet."
"Display number of items in cart","Aantal producten in winkelwagen tonen"
"Display item quantities","Productaantallen tonen"
"Shipping address is not set","Verzendadres is niet ingesteld"
"Unable to save shipping information. Please check input data.","Kan de verzend informatie niet opslaan. Controleer de ingevoerde gegevens."
"Carrier with such method not found: %1 %2","Vervoerder met dergelijke methode niet gevonden: %1 %2"
"Shipping method is not applicable for empty cart","Verzendmethode is niet van toepassing voor een lege winkelwagen"
"Totals calculation is not applicable to empty cart","Totalenberekening geldt niet voor lege winkelwagen"
"Invalid data","Ongeldige data"
"The customer address is not valid.","Het adres van de klant is niet geldig."
"Invalid shipping method","Ongeldige verzendmethode"
"There are more than one shipping addresses.","Er zijn meerdere verzendadressen."
"Sorry guest checkout is not available.","Afrekenen zonder account is niet mogelijk."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","U moet uw account bevestigen. Controleer uw email voor de bevestigingslink of <a href=""%1""> Klik hier</a> voor een nieuwe link."
"Load customer quote error","Fout bij laden van klant-quote"
"Error message!",Foutmelding!
Error!,Fout!
"DB exception","DB uitzondering"
"Wrong minimum amount.","Verkeerd minimumbedrag."
Message,Bericht
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Bon afdrukken</a>"
"Apply Discount Code","Pas kortingscode toe"
"Enter discount code","Voer kortingscode in"
"Apply Discount","Korting doorvoeren"
"Cancel Coupon","Kortingscode annuleren"
"Shopping Cart Items","Producten in winkelwagen"
Item,Product
Price,Prijs
Qty,Aantal
Subtotal,Subtotaal
"Continue Shopping","Ga verder met winkelen"
"Clear Shopping Cart","Leeg winkelwagen"
"Update Shopping Cart","Update Winkelwagen"
"Update Cart",Bijwerken
"See price before order confirmation.","Bekijk prijs voor bestelbevestiging."
"What's this?","Wat is dit?"
"Edit item parameters","Wijzig product-parameters"
Edit,Bewerken
"Remove item","Product verwijderen"
"You have no items in your shopping cart.","U heeft geen product(en) in uw winkelwagen."
"Click <a href=""%1"">here</a> to continue shopping.","Klik <a href=""%1"">hier</a> om verder te gaan met winkelen."
"Estimate Tax","Schat BTW"
"Estimate Shipping and Tax","Bekijk verzendkosten en BTW"
"Excl. Tax","Excl. BTW"
Loading...,"Bezig met laden..."
"Order #","Bestelling #"
"Proceed to Checkout","Ga door naar afrekenen"
"Product Name",Productnaam
"Incl. Tax","Incl. BTW"
"Your order number is: %1.","Uw bestelnummer is: %1."
"Your order # is: <span>%1</span>.","Uw bestelnummer is: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","We sturen u een orderbevestiging met verdere details en informatie."
"Static Blocks","Statische blokken"
"Add New Block","Nieuw blok toevoegen"
Back,Terug
"Delete Block","Blok verwijderen"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Save and Continue Edit",Toepassen
"Save Block","Blok opslaan"
Title,Titel
Disabled,Uitgeschakeld
Enabled,Ingeschakeld
"Manage Pages","Beheer pagina's"
"Add New Page","Nieuwe pagina toevoegen"
"Delete Page","Pagina verwijderen"
"Save Page","Pagina opslaan"
"URL Key","URL sleutel"
Layout,Lay-out
"Store View",Winkelaanzicht
Created,Aangemaakt
Modified,Gewijzigd
Action,Actie
Preview,Voorbeeld
"Media Storage","Media opslag"
"Create Folder...","Maak map...."
"Delete Folder","Map verwijderen"
"Delete File","Bestand verwijderen"
"Insert File","Bestand invoegen"
"New Folder Name:","Nieuwe mapnaam"
"Are you sure you want to delete this folder?","Weet u zeker dat u deze map wilt verwijderen?"
"Are you sure you want to delete this file?","Weet u zeker dat u dit bestand wilt verwijderen?"
"Images (%1)","Afbeeldingen (%1)"
"Storage Root","Opslag root"
"Go to Home Page","Ga naar homepagina"
"You deleted the block.","Het blok is verwijderd."
"We can't find a block to delete.","Blok om te verwijderen niet gevonden."
"This block no longer exists.","Dit blok bestaat niet langer meer"
"Edit Block","Blok bewerken"
"New Block","Nieuw blok"
Blocks,Blokken
"Please correct the data sent.","Corrigeer de gegevens die zijn verzonden."
"A total of %1 record(s) have been deleted.","%1 record(s) verwijderd."
"You saved the block.","Het blok is opgeslagen."
"Something went wrong while saving the block.","Er ging iets mis bij het opslaan van het blok."
"The page has been deleted.","De pagina is verwijderd"
"We can't find a page to delete.","Pagina om te verwijderen niet gevonden."
"This page no longer exists.","Deze pagina bestaat niet langer meer"
"Edit Page","Pagina Bewerken"
"New Page","Nieuwe pagina"
Pages,Pagina's
"Something went wrong while saving the page.","Er ging iets mis bij het opslaan van de pagina."
"A total of %1 record(s) have been disabled.","Een totaal van %1 document(en) zijn uitgeschakeld."
"A total of %1 record(s) have been enabled.","In totaal van %1 records(s) zijn ingeschakeld."
"Page Title",Paginatitel
"To apply changes you should fill in hidden required ""%1"" field","Om de wijzigingen toe te passen dient u het verborgen benodigde veld ""%1"" in te vullen"
"You saved the page.","Pagina opgeslagen."
"The directory %1 is not writable by server.","De map %1 is niet beschrijfbaar door de server."
"Make sure that static block content does not reference the block itself.","Zorg ervoor dat de inhoud van een statisch blok niet naar zichzelf verwijst."
"CMS Block with id ""%1"" does not exist.","CMS blok met id ""%1"" bestaat niet."
"Enabled by Default","Standaard ingeschakeld"
"Disabled by Default","Standaard uitgeschakeld"
"Disabled Completely","Volledig uitgeschakeld"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Deze identifier is gereserveerd voor ""CMS geen Route pagina"" in configuratie."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Deze identifier is gereserveerd voor ""CMS Home Pagina"" in configuratie."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Deze identifier is gereserveerd voor ""CMS Geen Cookies Pagina"" in configuratie."
"Could not save the page: %1","Kon pagina niet opslaan: %1"
"CMS Page with id ""%1"" does not exist.","CMS pagina met id ""%1"" bestaat niet."
"Could not delete the page: %1","Kon pagina niet verwijderen: %1"
"A block identifier with the same properties already exists in the selected store.","Een block identifier met dezelfde eigenschappen bestaat reeds."
"The page URL key contains capital letters or disallowed symbols.","De URL-key van de pagina heeft hoofdletters of niet toegestane tekens."
"The page URL key cannot be made of only numbers.","De pagina URL sleutel kan niet uitsluitend uit cijfers bestaan."
"Please rename the folder using only letters numbers underscores and dashes.","Hernoem de map waarbij u enkel letters cijfers onderstrepingstekens en streepjes gebruikt."
"We found a directory with the same name. Please try another folder name.","We vonden een map met dezelfde naam. Probeer een andere map naam."
"We cannot create a new directory.","We kunnen geen nieuwe map aanmaken."
"We cannot delete directory %1.","We kunnen map %1 niet verwijderen."
"We can't upload the file right now.","Wij kunnen het bestand nu niet uploaden."
"We can't delete root directory %1 right now.","Wij kunnen de hoofddirectory %1 nu niet verwijderen."
"Directory %1 is not under storage root path.","Map %1 is niet opgeslagen onder het hoofdpad"
"Privacy and Cookie Policy","Privacy en Cookie Policy"
Exception,Uitzondering
"Could not create a directory.","Kon geen map aanmaken."
"All Store Views","Alle Winkelaanzichten"
Edit,Bewerken
Delete,Verwijder
"Delete ${ $.$data.title }","Verwijder ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Weet u zeker dat u een ${ $.$data.title } record wilt verwijderen?"
"Delete ""${ $.$data.title }""","Verwijder ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Weet u zeker dat u een ""${ $.$data.title }"" record wilt verwijderen?"
View,Bekijk
"No files found","Geen bestanden gevonden"
"Browse Files...","Blader door bestanden..."
"Collapse All","Alles uitklappen"
"Expand All","Alles uitklappen"
"Default Config","Standaard configuratie"
"Save Config","Configuratie opslaan"
[GLOBAL],[GLOBAAL]
"[STORE VIEW]",[WINKELAANZICHT]
"Use system value","Gebruik systeemwaarde"
"Use Default","Gebruik standaard"
"Use Website","Website gebruiken"
Add,Toevoegen
"Delete File","Bestand verwijderen"
"Search String",Zoektekst
"Design Theme",Ontwerpthema
"Add \Exception","Uitzondering toevoegen"
"-- No Theme --","-- Geen thema --"
Enable,Activeer
Disable,Deactiveer
Configuration,Configuratie
System,systeem
"You saved the configuration.","U heeft de configuratie opgeslagen."
"Something went wrong while saving this configuration:","Er ging iets mis bij het opslaan van deze configuratie:"
"Page not found.","Pagina niet gevonden."
"Please specify the admin custom URL.","Geef de custom Admin-URL op."
"Invalid %1. %2","Ongeldige %1. %2"
"Value must be a URL or one of placeholders: %1","Ingevulde waarde moet een (tijdelijke) URL zijn: %1"
"Specify a URL or path that starts with placeholder(s): %1 and ends with ""/"".","Geef een URL of het pad dat begint met placeholder(s): %1 en eindigt met ""/""."
"%1 An empty value is allowed as well.","%1 een lege waarde is ook toegestaan."
"Specify a fully qualified URL.","Geef een volledig gekwalificeerde URL op."
"Selected allowed currency ""%1"" is not available in installed currencies.","Geselecteerde toegestane waarde ""%1"" is niet beschikbaar in geÃ¯nstalleerde waardens."
"Default display currency ""%1"" is not available in allowed currencies.","Standaard-valuta ""%1"" is niet beschikbaar in toegestane valuta."
"Sorry we haven't installed the base currency you selected.","We hebben de basisvaluta niet geÃ¯nstalleerd die u geselecteerd heeft."
"We can't save the Cron expression.","We kunnen de Cron opdracht niet opslaan."
"Sorry we haven't installed the default display currency you selected.","Sorry het is niet gelukt om de standaard valuta welke u heeft geselecteerd in te stellen."
"Sorry the default display currency you selected is not available in allowed currencies.","De standaard valuta weergave die u heeft geselecteerd is niet beschikbaar in de toegestane valuta's."
"Please correct the email address: ""%1"".","Corrigeer het e-mailadres: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","De afzender naam ""%1"" is niet geldig. Gebruik alleen zichtbare tekens en spaties."
"Maximum sender name length is 255. Please correct your settings.","Maximale afzender naam lengte is 255. Corrigeer uw instellingen."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Het bestand dat u uploadt overschrijdt de limiet van de server van %1 kilobytes."
"The specified image adapter cannot be used because of: %1","De opgegeven afbeelding adapter kan niet gebruikt worden omwille van: %1"
"Default scope",Standaard-scope
"Base currency",Basis-valuta
"Display default currency","Standaardvaluta weergeven"
"website(%1) scope","scope website(%1)"
"store(%1) scope","scope winkel (%1)"
"Currency ""%1"" is used as %2 in %3.","Valuta ""%1"" wordt gebruikt als %2 in %3."
"Please correct the timezone.","Corrigeer de tijdzone."
"The file ""%1"" does not exist","Het bestand ""%1"" bestaat niet"
"Always (during development)","Altijd (tijdens ontwikkeling)"
"Only Once (version upgrade)","Eenmalig (versie upgrade)"
"Never (production)","Nooit (productie)"
Bcc,"Bcc (Blinde kopie)"
"Separate Email","Afzonderlijke e-mail"
"%1 (Default)","%1 (standaard)"
title,titel
No,Nee
Optional,Optioneel
Required,Vereist
Store,Winkel
"Store View",Winkelaanzicht
"HTTP (unsecure)","HTTP (onveilig)"
"Yes (302 Found)","Ja (302 gevonden)"
"Yes (301 Moved Permanently)","Ja (301 Permanent verplaatst)"
Yes,Ja
Specified,Gespecificeerd
"Config form fieldset clone model required to be able to clone fields","Configuratie form fieldset clone model verplicht om velden te kunnen kopieren."
"Invalid XML in file %1:\n%2","Ongeldige XML in bestand %1:\n%2"
"some prefix","een voorvoegsel"
"element hint","element tip"
"element comment","element opmerking"
"Add after","Toevoegen na"
Delete,Verwijder
"Current Configuration Scope:","Scope huidige configuratie"
Stores,Winkels
"Add configurable attributes to the current Attribute Set (""%1"")","Configureerbare attributen toevoegen aan de huidige attributenset (""%1"")"
"Add configurable attributes to the new Attribute Set based on current","Voeg configureerbare attributen toe aan de nieuwe Attributenset gebaseerd op de huidige"
"New attribute set name","Naam nieuwe Attributenset"
"Add configurable attributes to the existing Attribute Set","Configureerbare attributen toevoegen aan de bestaande Attributenset"
"Choose existing Attribute Set","Kies bestaande Attributenset"
Save,Opslaan
"Save & New","Opslaan & Nieuw"
"Save & Duplicate","Opslaan & Dupliceren"
"Save & Close","Opslaan & Sluiten"
Configurations,Configuraties
"Attribute Values","Attribuut Waarden"
"Bulk Images &amp; Price","Afbeeldingen &amp; Prijzen"
"Create New Attribute","Nieuw attribuut aanmaken"
"Select Attributes","Selecteer Attributen"
Summary,Samenvatting
"Choose an Option...","Kies een optie..."
"This attribute is used in configurable products.","Deze attribuut wordt gebruikt in configureerbare producten."
"Product has been already attached","Product is al gekoppeld"
"Product with specified sku: %1 is not a configurable product","Product met opgegeven art.nr.: %1 is geen configureerbaar product"
"Requested option doesn't exist","Gevraagde optie bestaat niet"
"Requested option doesn't exist: %1","Gevraagde optie bestaat niet: %1"
"Cannot delete variations from product: %1","Variaties van product niet verwijderen: %1"
"Cannot delete option with id: %1","Kan de optie met id: %1 niet verwijderen"
"Option with id ""%1"" not found","Optie met id ""%1"" niet gevonden"
"Something went wrong while saving option.","Er ging iets mis bij het opslaan van de optie."
"Only implemented for configurable product: %1","Alleen geÃ¯mplementeerd voor configureerbaar product: %1"
"Option attribute ID is not specified.","Optie attribuut-ID is niet opgegeven."
"Option label is not specified.","Optie label wordt niet gespecificeerd."
"Option values are not specified.","Optiewaarden die zijn niet opgegeven."
"Value index is not specified for an option.","Waarde-index is niet opgegeven voor een optie."
"Product with id ""%1"" does not contain required attribute ""%2"".","Product met id ""%1"" bevat geen verplicht kenmerk ""%2""."
